trial,n_clusters,n_points,avg_compactness,avg_cohesion,avg_dispersion,avg_coverage,silhouette,dunn
0,1,6,1.6859733183509098,1.1147985944773504,0.6532982100989481,2.861344444476905,,
1,1,6,1.5875188827522573,1.0415587699430326,0.5845108695552674,2.481296885316193,,
2,2,6,1.5790368072467247,0.8530007827359114,0.14375744889993858,0.5431318982592375,0.41810116375055806,2.8482782611467496
3,2,6,1.4592787706313297,0.786307840203518,0.22930453865639241,0.4856125764081343,0.7976890822204356,2.2805984570500426
4,1,6,1.507925778839437,0.9723801252878149,0.5448724926699602,2.4781011193620626,,
5,1,6,1.4194766583519784,0.9074949440208862,0.5394292786150895,2.181974532316517,,
6,1,6,1.7488199183160595,1.149791925377162,0.7053864821127073,2.814714445752477,,
7,1,6,1.7873889054855951,1.1500027752995743,0.80005951497828,2.410605098997234,,
8,2,6,1.3461514521368683,0.744262347157046,0.20475424914616483,0.7165889231678526,0.6187669277467315,1.3840057268250598
9,1,6,1.8035925389700522,1.1941936532007882,0.7243075593228376,3.1728389176181095,,
10,2,6,1.5643333650331595,0.8402034110512682,0.242046288331527,0.7467590113120024,0.7832290053415202,2.359918223668427
11,3,6,1.0931180482722416,0.5465590241361208,0.0,0.0,0.6555956405047817,1.3692761714072395
12,1,6,1.8276483329945235,1.1719086245717218,0.7686202983944165,3.395364315000351,,
13,2,6,1.5689684985567984,0.8720942099452078,0.1933525748969396,0.8083415879921892,0.7308912665951596,2.0691106495872
14,2,6,2.153698592066868,1.214389078886085,0.5896624878535098,0.565519565859297,0.5738163059029687,0.8947337453072617
15,2,6,1.0460138422465641,0.6033268889860721,0.470763213346248,0.14394942743005168,0.5989433209315748,1.1306243301910974
16,1,6,1.5728698576271403,1.0255642075442168,0.4904191926882854,2.8661388389107407,,
17,1,6,1.4529862070560002,0.9594950619973562,0.5060942832775074,2.242636806406517,,
18,2,6,1.5614515496348187,0.8965207530402921,0.4180412312824721,1.002814430659069,0.6983592428679181,1.1322663039370628
19,1,6,1.763719434632416,1.148482614638742,0.7594866365013562,2.28545858580339,,
20,1,6,2.3257022910033727,1.4943367277032518,1.0923293183492562,3.8932052856437283,,
21,2,6,1.6282074681556042,0.914029880620837,0.22365003016178037,1.0286706511197339,0.7748814217784895,2.58744897665974
22,1,6,2.2158962378452554,1.4547145912669777,1.0904791619474594,2.959370910457215,,
23,2,6,1.908323690546677,1.0826401261722363,0.47612717292863194,0.8256176994707236,0.6016283782130442,1.0522516262223578
24,2,6,1.5295063511893674,0.8239050184140393,0.21694760243607722,0.6837098973666375,0.7195343310299931,1.9751703917420342
25,2,6,1.3611084636881294,0.7353261385727488,0.2060438117750186,0.6289785900510151,0.6942713678247406,1.514945263396929
26,1,6,1.6430892348975314,1.0271313646433764,0.587539266535509,3.0630032422012756,,
27,1,6,2.2495976438296643,1.4494065210983291,1.0653072667523857,2.2175805436335185,0.1335304131249353,
28,2,6,1.6056528494320839,0.8781546284856357,0.2520671325306572,0.8216624250739505,0.6749091846753581,1.4125124313622097
29,2,6,1.592352227761866,0.8711050336105419,0.26270238578616156,0.6750393180651163,0.7779160513615033,2.242577919449135
