0,89.447,Better
1,67.621,Better
2,105.584,Better
3,177.663,Better
4,265.905,Better
5,75.851,Better
6,126.706,Better
7,68.403,Better
8,499.515,Better
9,144.866,Better
0,326.527,Better
1,61.981,Better
2,82.334,Better
3,71.577,Better
4,136.5,Better
5,178.608,Better
6,71.799,Better
7,95.721,Better
8,80.552,Better
9,239.58,Better
10,194.663,Better
11,119.777,Better
12,56.543,Better
13,95.522,Better
14,63.447,Better
,Proposed 2,
0,65.892,Correct
1,64.804,Correct
2,84.627,Correct
3,149.895,Correct
4,58.368,Correct
5,83.82,Correct
6,60.592,Correct
7,204.894,Correct
8,159.312,Correct
9,70.091,Correct
10,37.384,Correct
11,151.104,Correct
12,47.892,Correct
13,31.068,Correct
14,76.002,Correct
15,181.374,Correct
16,123.37,Correct
17,199.393,Correct
18,60.881,Correct
19,119.543,Correct
20,47.075,Correct
21,83.596,Correct
22,92.611,Correct
23,134.011,Correct
24,66.692,Correct
25,53.592,Correct
26,59.185,Correct
27,85.393,Correct
28,209.393,Correct
29,75.606,Correct
30,91.384,Correct
31,56.529,Correct
,Comparative Algorithm,
0,308.202,BeeClust
0,249.015,BeeClust
0,256.687,BeeClust
0,333.649,BeeClust
1,213.136,BeeClust
0,401.776,BeeClust
1,557.685,BeeClust
2,227.956,BeeClust
3,491.806,BeeClust
4,296.476,BeeClust
6,331.886,BeeClust
7,501.874,BeeClust
8,279.175,BeeClust
10,314.655,BeeClust
11,163.387,BeeClust
12,357.904,BeeClust
13,296.995,BeeClust
14,192.848,BeeClust
15,367.495,BeeClust
17,167.439,BeeClust
18,209.665,BeeClust
20,240.651,BeeClust
21,295.483,BeeClust
22,149.45,BeeClust
23,296.03,BeeClust
24,338.224,BeeClust
25,575,BeeClust
26,580.997,BeeClust
27,135.654,BeeClust
28,579.663,BeeClust
29,303.736,BeeClust
0,26.139,PSO
1,47.593,PSO
2,40.137,PSO
3,45.169,PSO
4,43.195,PSO
5,33.57,PSO
6,39.462,PSO
7,30.184,PSO
8,27.491,PSO
9,39.433,PSO
10,47.432,PSO
11,45.756,PSO
12,31.883,PSO
13,26.401,PSO
14,29.185,PSO
15,26.175,PSO
16,35.999,PSO
17,37.602,PSO
18,31.33,PSO
19,35.195,PSO
20,27.899,PSO
21,39.449,PSO
22,34.973,PSO
23,35.065,PSO
24,42.011,PSO
25,33.951,PSO
26,35.097,PSO
27,40.815,PSO
28,15.697,PSO
29,38.369,PSO
0,560.554,Boids
1,602.295,Boids
2,485.526,Boids
3,62.799,Boids
4,703.818,Boids
5,224.816,Boids
6,1809.325,Boids
7,716.046,Boids
8,296.596,Boids
9,335.322,Boids
10,434.339,Boids
11,221.322,Boids
12,347.369,Boids
13,227.353,Boids
14,74.562,Boids
15,542.257,Boids
16,113.559,Boids
17,1752.307,Boids
18,242.29,Boids
19,257.346,Boids
20,374.301,Boids
21,221.351,Boids
22,134.552,Boids
23,131.843,Boids
24,230.473,Boids
25,83.855,Boids
26,416.304,Boids
27,545.289,Boids
28,416.548,Boids
29,365.531,Boids
